City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,lethbridge,49.7,-112.8186,10.06,46,0,10.29,CA,1728131979
124,dukku,10.8231,10.7717,29.25,58,79,3.09,NG,1728132234
125,susuman,62.7833,148.1667,-8.59,92,99,0.06,RU,1728132235
126,saint-pierre,-21.3393,55.4781,23.82,53,0,8.23,RE,1728132171
127,qaqortoq,60.7167,-46.0333,5.55,49,0,1.17,GL,1728132237
128,urzhar,47.093,81.6294,16.26,26,0,5.52,KZ,1728132239
129,sinor,21.9167,73.3333,28.26,69,27,1.03,IN,1728132240
130,khandyga,62.6667,135.6,0.61,99,100,0.82,RU,1728132241
131,lompoc,34.6391,-120.4579,14.4,96,100,0.0,US,1728132242
132,badger,64.8,-147.5333,2.95,65,0,3.09,US,1728132243
133,puerto san jose,13.9256,-90.8244,24.03,94,0,0.0,GT,1728132244
134,east london,-33.0153,27.9116,29.52,45,0,3.6,ZA,1728132245
135,balykshi,47.0667,51.8667,25.0,19,0,3.0,KZ,1728132246
136,faya-largeau,17.9257,19.1043,40.91,12,100,4.15,TD,1728132247
137,bredasdorp,-34.5322,20.0403,28.62,37,43,5.88,ZA,1728132248
138,dubove,48.1721,23.8895,15.32,95,100,1.6,UA,1728131993
139,sadjoavato,-12.6334,49.349,26.34,52,49,5.46,MG,1728132251
140,cape girardeau,37.3834,-89.7168,12.77,82,0,1.52,US,1728132056
141,namibe,-15.1961,12.1522,24.32,65,19,6.74,AO,1728132253
142,afaahiti,-17.75,-149.2833,22.71,81,100,9.99,PF,1728132254
143,broome,42.2506,-75.833,11.93,97,0,0.89,US,1728132255
144,anadyr,64.75,177.4833,0.28,93,75,3.0,RU,1728132256
145,ugoofaaru,5.6667,73.0,28.1,77,100,5.6,MV,1728132257
146,bambari,5.768,20.6757,28.77,71,100,0.5,CF,1728132258
147,thompson,55.7435,-97.8558,2.09,80,100,3.6,CA,1728132230
148,jamestown,42.097,-79.2353,12.23,100,0,0.45,US,1728132229
149,sitka,57.0531,-135.33,8.94,81,100,5.66,US,1728132261
150,barda,40.3744,47.1267,25.6,38,0,2.22,AZ,1728132262
151,avarua,-21.2078,-159.775,22.03,68,75,4.63,CK,1728132263
152,whitehorse,60.7161,-135.0538,4.43,70,100,6.17,CA,1728132265
153,longyearbyen,78.2186,15.6401,-3.09,68,20,6.69,SJ,1728132266
154,ketchikan,55.3422,-131.6461,9.32,93,100,7.72,US,1728132267
155,egilsstadir,65.2653,-14.3948,2.95,75,75,6.69,IS,1728132268
156,atafu village,-8.5421,-172.5159,28.07,74,86,5.15,TK,1728132269
157,georgetown,5.4112,100.3354,26.96,93,40,2.24,MY,1728132180
158,lautoka,-17.6167,177.4667,23.92,83,20,2.57,FJ,1728132271
159,weno,7.4515,151.8468,28.84,74,94,3.01,FM,1728132272
160,zavodoukovsk,56.5042,66.5515,10.64,38,100,2.87,RU,1728132273
161,bouza,14.4229,6.0428,29.57,49,100,5.85,NE,1728132274
162,rongelap,11.1635,166.8941,27.29,78,100,4.47,MH,1728132275
163,iskateley,67.6803,53.1512,1.22,97,100,5.04,RU,1728132276
164,machico,32.7,-16.7667,28.89,81,4,3.0,PT,1728132278
165,uturoa,-16.7333,-151.4333,25.07,79,95,11.86,PF,1728132279
166,amga,60.8953,131.9608,0.64,96,100,1.07,RU,1728132280
167,hasaki,35.7333,140.8333,21.81,77,100,6.09,JP,1728132281
168,wailua homesteads,22.0669,-159.378,23.44,89,75,2.06,US,1728132282
169,kone,-21.0595,164.8658,19.02,81,11,2.21,NC,1728132283
170,tekman,39.6436,41.5078,17.95,26,0,1.72,TR,1728132284
171,udachny,66.4167,112.4,-1.55,88,98,3.22,RU,1728132285
172,muromtsevo,56.3724,75.2418,8.85,48,5,2.26,RU,1728132286
173,okhotsk,59.3833,143.3,4.44,66,100,1.42,RU,1728132288
174,coahuayana de hidalgo,18.7,-103.6583,24.33,95,85,0.9,MX,1728132289
175,labrador city,52.9463,-66.9114,6.77,71,75,4.92,CA,1728132290
176,presque isle,46.6811,-68.0159,14.24,90,100,3.09,US,1728132292
177,south hedland,-20.4089,118.5983,24.96,73,100,3.09,AU,1728132293
178,turbat,26.0023,63.044,35.83,36,0,8.09,PK,1728132294
179,nelsonville,39.4587,-82.2318,10.15,80,0,2.68,US,1728131997
180,lazaro cardenas,17.9583,-102.2,25.13,90,100,1.14,MX,1728132296
181,port augusta,-32.5,137.7667,13.74,72,0,2.39,AU,1728132298
182,sokoni,-6.4333,39.55,25.55,78,44,8.92,TZ,1728132299
183,puerto deseado,-47.7503,-65.8938,8.15,51,52,3.02,AR,1728132218
184,touros,-5.1989,-35.4608,27.81,65,80,6.43,BR,1728132301
185,palikir - national government center,6.9248,158.1611,24.47,94,40,2.06,FM,1728132303
186,galiakot,23.5167,74.0,28.41,65,5,2.79,IN,1728132304
187,papatowai,-46.5619,169.4708,7.87,96,49,2.82,NZ,1728132305
188,jieshou,33.2634,115.3611,19.45,58,100,2.79,CN,1728132306
189,chibougamau,49.9168,-74.3659,5.79,93,100,0.0,CA,1728132307
190,port saint john's,-31.6229,29.5448,27.58,47,0,7.36,ZA,1728132308
191,kapa'a,22.0752,-159.319,24.18,85,75,2.06,US,1728132310
192,hobart,-42.8794,147.3294,10.92,76,100,2.57,AU,1728132227
193,simplicio mendes,-7.8539,-41.9103,34.73,27,8,3.68,BR,1728132312
194,klyuchi,52.2667,79.1667,12.08,38,1,2.87,RU,1728132313
195,luderitz,-26.6481,15.1594,27.05,39,3,5.84,NA,1728132315
196,dudinka,69.4058,86.1778,-2.22,95,98,5.05,RU,1728132316
197,port lincoln,-34.7333,135.8667,15.09,81,100,9.09,AU,1728132317
198,saldanha,-33.0117,17.9442,37.03,43,17,3.21,ZA,1728132318
199,salinopolis,-0.6136,-47.3561,28.73,68,13,5.62,BR,1728132320
200,datia,25.6667,78.4667,29.17,59,0,3.33,IN,1728132321
201,taoudenni,22.6783,-3.9836,41.84,9,3,2.8,ML,1728132322
202,yeppoon,-23.1333,150.7333,18.56,73,0,3.16,AU,1728132323
203,fisterra,42.9049,-9.2629,18.12,99,100,8.35,ES,1728132324
204,akureyri,65.6835,-18.0878,1.96,64,20,3.6,IS,1728132325
205,hilo,19.7297,-155.09,21.85,94,75,2.06,US,1728132326
206,al mahwit,15.4701,43.5448,22.46,45,12,4.42,YE,1728132327
207,galliano,29.4422,-90.2992,24.0,88,100,3.09,US,1728132328
208,punta arenas,-53.15,-70.9167,6.06,65,40,9.26,CL,1728132071
209,saudarkrokur,65.7461,-19.6394,4.07,49,1,1.43,IS,1728132330
210,taikang,46.8333,124.4167,11.46,49,95,2.98,CN,1728132333
211,crane,31.3974,-102.3501,19.11,53,0,1.54,US,1728132334
212,santa ana,33.7456,-117.8678,19.09,91,100,1.54,US,1728132335
213,labytnangi,66.6572,66.4183,1.1,71,100,5.01,RU,1728132337
214,al kharj,24.155,47.3346,37.32,16,0,1.06,SA,1728132338
215,rouissat,31.9243,5.3502,32.04,25,0,0.0,DZ,1728132339
216,fort bragg,35.139,-79.006,19.95,94,0,0.0,US,1728132340
217,geraldton,-28.7667,114.6,16.23,88,100,2.57,AU,1728132341
218,hamilton,39.1834,-84.5333,16.11,91,0,0.89,US,1728132313
219,kayangel,8.0823,134.7173,28.54,76,61,4.27,PW,1728132343
220,nabire,-3.3667,135.4833,24.58,93,98,1.83,ID,1728132344
221,sao joao da barra,-21.6403,-41.0511,24.05,62,100,7.25,BR,1728132060
222,sarina,-21.4333,149.2167,19.78,1,0,2.1,AU,1728132346
223,zhob,31.3411,69.4481,29.25,9,36,7.46,PK,1728132248
224,ancud,-41.8697,-73.8203,8.01,74,0,2.46,CL,1728132349
225,solnechnyy,50.7214,136.6319,13.28,62,100,3.57,RU,1728132350
226,la leonesa,-27.0379,-58.7035,28.38,37,1,2.78,AR,1728132351
227,antsiranana,-12.2787,49.2917,29.42,48,20,5.14,MG,1728132353
228,otofuke,42.9917,143.2003,11.0,83,34,0.9,JP,1728132354
229,guiuan,11.0333,125.7247,27.29,80,100,1.47,PH,1728132355
230,urucara,-2.5364,-57.76,34.57,40,56,1.62,BR,1728132356
231,tibati,6.4667,12.6333,22.33,85,100,0.8,CM,1728132357
232,ad-damazin,11.7891,34.3592,30.95,54,92,0.26,SD,1728132358
233,madinat ash shamal,26.1293,51.2009,30.89,54,0,9.24,QA,1728132359
234,port alfred,-33.5906,26.891,26.21,60,2,1.79,ZA,1728132360
235,kavieng,-2.5744,150.7967,28.47,78,99,6.24,PG,1728132362
236,lata,40.1629,-8.3327,24.16,73,100,3.61,PT,1728132364
237,masjed soleyman,31.9364,49.3039,34.2,12,0,3.47,IR,1728132365
238,andergrove,-21.0833,149.1833,20.62,73,0,2.1,AU,1728132366
239,akrehamn,59.2667,5.1833,14.14,72,75,8.23,NO,1728132368
240,zeya,53.75,127.2667,0.71,75,2,2.31,RU,1728132369
241,kramfors,62.9316,17.7765,7.89,71,100,2.06,SE,1728132370
242,janauba,-15.8025,-43.3089,32.85,30,0,4.74,BR,1728132114
243,antigua,14.5611,-90.7344,17.6,96,100,1.43,GT,1728132373
244,ushtobe,45.2514,77.9838,19.46,18,100,4.21,KZ,1728132374
245,ilha de mocambique,-15.0342,40.7358,25.05,71,10,9.44,MZ,1728132357
246,happy valley-goose bay,53.3168,-60.3315,7.17,76,40,3.09,CA,1728132376
247,lima,-12.0432,-77.0282,17.72,87,93,3.09,PE,1728131977
248,waiuku,-37.25,174.75,14.81,89,37,3.42,NZ,1728132378
249,aoulef,26.9667,1.0833,42.07,8,2,6.59,DZ,1728132379
250,sechura,-5.5569,-80.8222,19.62,80,100,1.76,PE,1728132380
251,hobyo,5.3505,48.5268,26.57,76,97,11.38,SO,1728132381
252,vorgashor,67.5833,63.95,-0.09,69,100,6.37,RU,1728132382
253,kilju,40.9642,129.3278,11.75,82,0,1.8,KP,1728132383
254,berezovyy,51.6667,135.7,12.62,75,100,3.08,RU,1728132385
255,palangkaraya,-2.2,113.8333,26.66,77,100,1.22,ID,1728132386
256,rajula,21.05,71.4333,26.82,79,10,4.17,IN,1728132387
257,santana,-0.0583,-51.1817,30.1,79,75,4.12,BR,1728132388
258,mugia,43.1041,-9.2179,21.62,98,100,9.5,ES,1728132389
259,dauphin,51.1494,-100.0502,15.08,55,100,5.66,CA,1728132376
260,altud,43.7219,43.8658,24.25,25,0,4.01,RU,1728132391
261,vega de alatorre,20.0333,-96.6333,25.44,67,100,2.5,MX,1728132392
262,vila velha,-20.3297,-40.2925,22.97,84,75,7.2,BR,1728132393
263,senador guiomard,-10.1522,-67.7392,30.63,46,100,1.62,BR,1728132394
264,miri,4.4148,114.0089,26.08,100,40,0.0,MY,1728132395
265,charlotte amalie,18.3419,-64.9307,28.85,84,0,3.36,VI,1728132155
266,port hedland,-20.3167,118.5667,25.03,73,100,3.09,AU,1728132398
267,moree,-29.4667,149.85,17.52,42,5,3.83,AU,1728132399
268,yanam,16.7333,82.2167,24.14,96,16,1.83,IN,1728132400
269,cidreira,-30.1811,-50.2056,19.42,73,4,7.53,BR,1728132401
270,hayvoron,48.3396,29.8679,24.46,56,100,3.9,UA,1728132402
271,sandnessjoen,66.0217,12.6316,7.06,76,75,3.09,NO,1728132403
272,ronne,55.1009,14.7066,14.95,55,20,2.57,DK,1728132404
